CustomerKey,FirstName,LastName,Full Name,Gender,YearlyIncome,DateFirstPurchase,Customer City
11000,Jon,Yang,JonYang,Male,90000.00,2018-01-19,Rockhampton
11001,Eugene,Huang,EugeneHuang,Male,60000.00,2018-01-15,Seaford
11002,Ruben,Torres,RubenTorres,Male,60000.00,2018-01-07,Hobart
11003,Christy,Zhu,ChristyZhu,Female,70000.00,2017-12-29,North Ryde
11004,Elizabeth,Johnson,ElizabethJohnson,Female,80000.00,2018-01-23,Wollongong
11005,Julio,Ruiz,JulioRuiz,Male,70000.00,2017-12-30,East Brisbane
11006,Janet,Alvarez,JanetAlvarez,Female,70000.00,2018-01-24,Matraville
11007,Marco,Mehta,MarcoMehta,Male,60000.00,2018-01-09,Warrnambool
11008,Rob,Verhoff,RobVerhoff,Female,60000.00,2018-01-25,Bendigo
11009,Shannon,Carlson,ShannonCarlson,Male,70000.00,2018-01-27,Hervey Bay
11010,Jacquelyn,Suarez,JacquelynSuarez,Female,70000.00,2018-01-14,East Brisbane
11011,Curtis,Lu,CurtisLu,Male,60000.00,2017-12-30,East Brisbane
11012,Lauren,Walker,LaurenWalker,Female,100000.00,2020-03-16,Bremerton
11013,Ian,Jenkins,IanJenkins,Male,100000.00,2020-04-13,Lebanon
11014,Sydney,Bennett,SydneyBennett,Female,100000.00,2020-03-23,Redmond
11015,Chloe,Young,ChloeYoung,Female,30000.00,2020-01-18,Burbank
11016,Wyatt,Hill,WyattHill,Male,30000.00,2020-02-09,Imperial Beach
11017,Shannon,Wang,ShannonWang,Female,20000.00,2018-01-12,Sunbury
11018,Clarence,Rai,ClarenceRai,Male,30000.00,2018-01-17,Bendigo
11019,Luke,Lal,LukeLal,Male,40000.00,2020-02-12,Langley
11020,Jordan,King,JordanKing,Male,40000.00,2019-12-29,Metchosin
11021,Destiny,Wilson,DestinyWilson,Female,40000.00,2020-01-23,Beaverton
11022,Ethan,Zhang,EthanZhang,Male,40000.00,2020-01-20,Bellingham
11023,Seth,Edwards,SethEdwards,Male,40000.00,2020-02-17,Bellflower
11024,Russell,Xie,RussellXie,Male,60000.00,2020-06-27,Concord
11025,Alejandro,Beck,AlejandroBeck,Male,10000.00,2018-01-06,Hawthorne
11026,Harold,Sai,HaroldSai,Male,30000.00,2018-01-23,Goulburn
11027,Jessie,Zhao,JessieZhao,Male,30000.00,2018-01-16,Warrnambool
11028,Jill,Jimenez,JillJimenez,Female,30000.00,2018-01-26,St. Leonards
11029,Jimmy,Moreno,JimmyMoreno,Male,30000.00,2018-01-19,Bendigo
11030,Bethany,Yuan,BethanyYuan,Female,10000.00,2018-02-05,Cloverdale
11031,Theresa,Ramos,TheresaRamos,Female,20000.00,2018-02-01,Matraville
11032,Denise,Stone,DeniseStone,Female,20000.00,2018-02-18,Melbourne
11033,Jaime,Nath,JaimeNath,Male,20000.00,2018-02-15,Milsons Point
11034,Ebony,Gonzalez,EbonyGonzalez,Female,20000.00,2018-02-01,North Sydney
11035,Wendy,Dominguez,WendyDominguez,Female,10000.00,2018-02-06,Cranbourne
11036,Jennifer,Russell,JenniferRussell,Female,60000.00,2020-01-22,National City
11037,Chloe,Garcia,ChloeGarcia,Female,40000.00,2020-01-20,Cliffside
11038,Diana,Hernandez,DianaHernandez,Female,10000.00,2018-02-07,Lavender Bay
11039,Marc,Martin,MarcMartin,Male,30000.00,2018-02-07,Wollongong
11040,Jesse,Murphy,JesseMurphy,Male,30000.00,2020-04-03,Tacoma
11041,Amanda,Carter,AmandaCarter,Female,60000.00,2020-01-14,Glendale
11042,Megan,Sanchez,MeganSanchez,Female,70000.00,2020-01-21,Los Angeles
11043,Nathan,Simmons,NathanSimmons,Male,60000.00,2020-05-08,Glendale
